Case,Category,Design_feature,Tier1_strategy,Tier2_strategy,Sustainability_justification,SCAMPER_technique,Creativity_justification,Link
DLL Group,Vehicles and Parts,Remounting of ambulance rear box onto a new chassis,Longevity and Effective Usage,Design for remanufacturing,"This feature extends the life of the ambulance by reusing the existing rear box, thereby reducing the need for entirely new manufacturing.",Rearrange,This feature is a direct result of rearranging the existing components (rear box) onto a new base (chassis) to create a functional new product.,https://www.ellenmacarthurfoundation.org/circular-examples/how-refurbishment-can-work-even-when-safety-and-performance-matter-the-most
DLL Group,Vehicles and Parts,New engine and gearbox,Product efficiency,Energy consumption efficiency,"Incorporating a new engine and gearbox likely improves fuel efficiency and reduces emissions compared to older, less efficient components.",Substitute,"This feature involves substituting the old engine and gearbox with newer, more efficient ones to enhance performance and reduce environmental impact.",https://www.ellenmacarthurfoundation.org/circular-examples/how-refurbishment-can-work-even-when-safety-and-performance-matter-the-most
DLL Group,Vehicles and Parts,Manufacturer warranty on new chassis components,Longevity and Effective Usage,Design to last,"The warranty on new chassis components assures the customer of the durability and reliability of these parts, encouraging longer use.",Modify,"Adding a manufacturer warranty modifies the perceived value and reliability of the product, making it more attractive for long-term use.",https://www.ellenmacarthurfoundation.org/circular-examples/how-refurbishment-can-work-even-when-safety-and-performance-matter-the-most
DLL Group,Vehicles and Parts,Extended vehicle life (5-7 years),Longevity and Effective Usage,Design to last,The explicit goal of extending the vehicle's lifespan directly contributes to reducing the frequency of vehicle replacement and associated resource consumption.,Modify,"The design is modified to enhance durability and performance over an extended period, effectively increasing the product's lifespan.",https://www.ellenmacarthurfoundation.org/circular-examples/how-refurbishment-can-work-even-when-safety-and-performance-matter-the-most
DLL Group,Vehicles and Parts,Reduced investment costs for end customer (>20%),Dematerialization,Design for value,"By offering a lower initial cost, the product makes sustainable options more accessible and attractive to a wider customer base.",Eliminate,"This feature is achieved by eliminating the cost associated with manufacturing an entirely new vehicle, making the remanufactured option more economical.",https://www.ellenmacarthurfoundation.org/circular-examples/how-refurbishment-can-work-even-when-safety-and-performance-matter-the-most
DLL Group,Vehicles and Parts,Passed external driving tests for safety and compliance,Longevity and Effective Usage,Design to last,Ensuring safety and compliance through rigorous testing contributes to the vehicle's reliability and operational integrity over its extended lifespan.,Adapt,"The design is adapted to meet stringent safety and compliance standards, ensuring it performs reliably and safely in its intended use.",https://www.ellenmacarthurfoundation.org/circular-examples/how-refurbishment-can-work-even-when-safety-and-performance-matter-the-most
DLL Group,Vehicles and Parts,Performance comparable to a new ambulance,Product efficiency,Energy consumption efficiency,"Achieving performance parity with new vehicles means the remanufactured option is not a compromise in functionality, encouraging its adoption as a sustainable alternative.",Adapt,"The design is adapted to ensure that the remanufactured ambulance performs at a level equivalent to a brand-new vehicle, making it a viable and attractive option.",https://www.ellenmacarthurfoundation.org/circular-examples/how-refurbishment-can-work-even-when-safety-and-performance-matter-the-most
Noveon,Business and Industrial,Utilizes magnets from end-of-use products as feedstock,Next-Best Material Selection,Recycled material,"This feature directly incorporates materials that have already served their initial purpose, thereby reducing the demand for virgin resources.",Substitute,The design substitutes new raw materials with recycled materials sourced from existing products.,https://www.ellenmacarthurfoundation.org/circular-examples/finding-rare-earth-elements-above-ground-not-underground
Noveon,Business and Industrial,Patented reprocessing process (Magnet-to-Magnet or M2M),Circularity,Enable material traceability,"The unique reprocessing method is key to closing the loop for magnets, allowing for their continuous reuse and tracking.",Rearrange,The process rearranges the existing magnet material through a new sequence of steps to create a new product.,https://www.ellenmacarthurfoundation.org/circular-examples/finding-rare-earth-elements-above-ground-not-underground
Noveon,Business and Industrial,"Produces new, custom-made magnets",Longevity and Effective Usage,Design for upgradability and adaptability,"By producing custom magnets, the product can be adapted to specific needs, potentially extending its useful life and performance.",Adapt,"The design adapts the reprocessing output to meet specific customer requirements, making the magnets more suitable for various applications.",https://www.ellenmacarthurfoundation.org/circular-examples/finding-rare-earth-elements-above-ground-not-underground
Noveon,Business and Industrial,Magnets have improved properties compared to starting material,Product efficiency,Energy consumption efficiency,"Enhanced properties can lead to more efficient performance in applications, potentially reducing overall energy consumption.",Modify,The design modifies the material properties during reprocessing to achieve superior performance.,https://www.ellenmacarthurfoundation.org/circular-examples/finding-rare-earth-elements-above-ground-not-underground
Noveon,Business and Industrial,Reduces energy consumption,Product efficiency,Energy consumption efficiency,This feature directly addresses the reduction of energy used in the product's lifecycle.,Eliminate,The design aims to eliminate or significantly reduce the energy required compared to traditional magnet production methods.,https://www.ellenmacarthurfoundation.org/circular-examples/finding-rare-earth-elements-above-ground-not-underground
Noveon,Business and Industrial,Reduces environmental impact,Next-Best Material Selection,Recycled material,"By using recycled materials and more efficient processes, the overall environmental footprint is lessened.",Substitute,The design substitutes environmentally damaging virgin material extraction with a less impactful recycled material approach.,https://www.ellenmacarthurfoundation.org/circular-examples/finding-rare-earth-elements-above-ground-not-underground
Noveon,Business and Industrial,Reduces landfill space occupied by end-of-use magnets,Circularity,Design for end-of-life collection,This feature diverts waste from landfills by providing a pathway for end-of-life magnets to be reprocessed.,Put to Another Use,"The design finds another use for end-of-life magnets, preventing them from becoming waste.",https://www.ellenmacarthurfoundation.org/circular-examples/finding-rare-earth-elements-above-ground-not-underground
Noveon,Business and Industrial,Protects against raw material price fluctuations,Green Supply Chain,Frugal processes and operations,"By relying on a more stable source of recycled materials, the business becomes less vulnerable to volatile market prices, promoting operational stability.",Combine,The design combines the concept of material reprocessing with a business model that leverages a more stable feedstock.,https://www.ellenmacarthurfoundation.org/circular-examples/finding-rare-earth-elements-above-ground-not-underground
Desso,Home and Garden,Made from carpet tiles for offices and industry,Circularity,Design for reuse,"Using carpet tiles allows for individual replacement and reuse, contributing to a circular economy by extending product life and reducing waste.",Combine,Combining individual carpet tiles into a larger flooring system allows for modularity and easier replacement of worn sections.,https://www.ellenmacarthurfoundation.org/circular-examples/cradle-to-cradle-design-of-carpets
Desso,Home and Garden,Sports systems are Cradle to Cradle certified,Next-Best Material Selection,Renewable and biodegradable material,"Cradle to Cradle certification indicates that materials are assessed for their safety and circularity, often favoring renewable and biodegradable options.",Adapt,Adapting the Cradle to Cradle certification standard to sports systems demonstrates a commitment to using materials that can safely cycle back into nature or industry.,https://www.ellenmacarthurfoundation.org/circular-examples/cradle-to-cradle-design-of-carpets
Desso,Home and Garden,Woolen carpets with a biodegradable base made from corn by-product,Next-Best Material Selection,Renewable and biodegradable material,"Utilizing wool and a corn by-product base directly employs renewable and biodegradable materials, minimizing environmental impact at end-of-life.",Substitute,"Substituting traditional synthetic bases with a biodegradable corn by-product demonstrates a creative use of alternative, sustainable materials.",https://www.ellenmacarthurfoundation.org/circular-examples/cradle-to-cradle-design-of-carpets
Desso,Home and Garden,"Uses yarn from bamboo, which can be returned to the food-farming system",Next-Best Material Selection,Renewable and biodegradable material,"Bamboo is a rapidly renewable resource, and its ability to be returned to the food-farming system highlights its biodegradability and closed-loop potential.",Substitute,Substituting conventional yarn materials with bamboo yarn that has a clear end-of-life pathway back to agriculture showcases an innovative material choice.,https://www.ellenmacarthurfoundation.org/circular-examples/cradle-to-cradle-design-of-carpets
Desso,Home and Garden,100% renewable electricity (hydropower) used in production,Green Supply Chain,Detoxified processes,"Using 100% renewable electricity, like hydropower, reduces the carbon footprint of the production process and avoids emissions associated with fossil fuels.",Substitute,Substituting conventional energy sources with 100% renewable hydropower in the production process is a direct application of changing the energy 'ingredients'.,https://www.ellenmacarthurfoundation.org/circular-examples/cradle-to-cradle-design-of-carpets
Desso,Home and Garden,Focus on circular business model and sustainability,Circularity,Design for end-of-life collection,"A circular business model inherently aims to keep products and materials in use for as long as possible, which often includes designing for easy collection and reprocessing at end-of-life.",Adapt,"Adapting the entire business model to a circular approach influences all aspects of product design, including how products are collected and managed after use.",https://www.ellenmacarthurfoundation.org/circular-examples/cradle-to-cradle-design-of-carpets
Caterpillar,Business and Industrial,Designed for remanufacturing multiple times,Longevity and Effective Usage,Design for remanufacturing,This feature directly supports the goal of extending product life and reducing waste by enabling the product to be rebuilt and reused multiple times.,Adapt,"The design is adapted to allow for repeated disassembly and reassembly, implying a consideration of how existing components can be modified or reused in future iterations.",https://www.ellenmacarthurfoundation.org/circular-examples/design-and-business-model-considerations-for-heavy-machinery-remanufacturing
Caterpillar,Business and Industrial,Components rebuilt with a mixture of new and used parts,Circularity,Design for reuse,"This feature promotes circularity by prioritizing the reuse of existing components, thereby reducing the demand for new materials and minimizing waste.",Combine,"This feature combines new and used parts, a creative approach to resource utilization that maximizes the value of existing components.",https://www.ellenmacarthurfoundation.org/circular-examples/design-and-business-model-considerations-for-heavy-machinery-remanufacturing
Caterpillar,Business and Industrial,Emphasis on creating effective products and systems,Product efficiency,Energy consumption efficiency,"By focusing on effective systems, the design likely aims to optimize performance, which often translates to more efficient energy and resource utilization during operation.",Modify,"The emphasis on effectiveness suggests a modification or enhancement of the product's core functionality to achieve better results, potentially through added features or improved design.",https://www.ellenmacarthurfoundation.org/circular-examples/design-and-business-model-considerations-for-heavy-machinery-remanufacturing
Caterpillar,Business and Industrial,Consideration for salvaging materials,Circularity,Design for end-of-life collection,"This feature directly contributes to circularity by planning for the recovery and reuse of materials at the end of the product's life, minimizing landfill waste.",Eliminate,"The consideration for salvaging materials implies an elimination of the traditional linear 'dispose' step by planning for material recovery, thereby simplifying the end-of-life process.",https://www.ellenmacarthurfoundation.org/circular-examples/design-and-business-model-considerations-for-heavy-machinery-remanufacturing
Maersk Line,Business and Industrial,Cradle to Cradle Passport,Circularity,Enable material traceability,"The Cradle to Cradle Passport provides detailed information about the materials used, enabling traceability throughout the product lifecycle and facilitating circular economy principles.",Adapt,This feature adapts the concept of product passports from other industries to provide comprehensive material information for a shipping vessel.,https://www.ellenmacarthurfoundation.org/circular-examples/using-product-passports-to-improve-the-recovery-and-reuse-of-shipping-steel
Maersk Line,Business and Industrial,Online database for component inventory,Circularity,Enable material traceability,"An online database for component inventory allows for tracking and managing components, which is crucial for material traceability and supporting reuse or recycling.",Adapt,This feature adapts the common practice of digital inventory management from various sectors to the context of ship components for better lifecycle management.,https://www.ellenmacarthurfoundation.org/circular-examples/using-product-passports-to-improve-the-recovery-and-reuse-of-shipping-steel
Maersk Line,Business and Industrial,Designed for flexibility and manageability,Longevity and Effective Usage,Design for upgradability and adaptability,"Designing for flexibility and manageability allows for easier adaptation and upgrades over the ship's lifespan, extending its useful life and reducing the need for premature replacement.",Modify,This feature modifies the traditional approach to ship design by incorporating adaptability and ease of management as core principles.,https://www.ellenmacarthurfoundation.org/circular-examples/using-product-passports-to-improve-the-recovery-and-reuse-of-shipping-steel
Maersk Line,Business and Industrial,Maintained throughout a 30-year ship lifetime,Longevity and Effective Usage,Design to last,"Ensuring maintenance throughout a 30-year lifespan directly supports the strategy of designing products to last, reducing waste and resource consumption.",Modify,This feature modifies the expectation of product lifespans by explicitly planning for and enabling long-term maintenance and operation.,https://www.ellenmacarthurfoundation.org/circular-examples/using-product-passports-to-improve-the-recovery-and-reuse-of-shipping-steel
Maersk Line,Business and Industrial,Facilitates higher quality recycling of components,Circularity,Design for end-of-life collection,"By facilitating higher quality recycling, this feature directly contributes to circularity by ensuring materials can be effectively recovered and reused.",Adapt,"This feature adapts the principles of advanced recycling processes, often seen in smaller consumer goods, to the complex environment of maritime components.",https://www.ellenmacarthurfoundation.org/circular-examples/using-product-passports-to-improve-the-recovery-and-reuse-of-shipping-steel
Maersk Line,Business and Industrial,Enables effective sorting and processing of materials,Circularity,Enable material homogeneity,"Effective sorting and processing of materials are essential for enabling material homogeneity, which in turn supports higher quality recycling and reuse.",Modify,This feature modifies the end-of-life process by focusing on the upstream sorting and processing to improve material recovery and quality.,https://www.ellenmacarthurfoundation.org/circular-examples/using-product-passports-to-improve-the-recovery-and-reuse-of-shipping-steel
Maersk Line,Business and Industrial,Aims to maintain inherent material properties for re-sale,Circularity,Design for reuse,Maintaining material properties for re-sale directly supports the circular economy by enabling the reuse of components and materials.,Modify,This feature modifies the typical end-of-life approach by prioritizing the preservation of material value for future sale and reuse.,https://www.ellenmacarthurfoundation.org/circular-examples/using-product-passports-to-improve-the-recovery-and-reuse-of-shipping-steel
Ecovative,Business and Industrial,Fully compostable packaging,Circularity,Design for end-of-life collection,"This feature ensures the product breaks down naturally at the end of its life, contributing to a circular economy by avoiding landfill waste.",Substitute,"The material is substituted with a fully compostable alternative to traditional plastics, improving its end-of-life management.",https://www.ellenmacarthurfoundation.org/circular-examples/packaging-from-mushroom-plastic-ecovative
Ecovative,Business and Industrial,Made from mushroom roots (mycelium),Next-Best Material Selection,Renewable and biodegradable material,"Utilizing mycelium as the primary material source replaces conventional, less sustainable materials with a rapidly renewable and biodegradable option.",Substitute,"Mycelium is substituted for traditional petroleum-based plastics and wood products, offering a bio-based and sustainable alternative.",https://www.ellenmacarthurfoundation.org/circular-examples/packaging-from-mushroom-plastic-ecovative
Ecovative,Business and Industrial,Utilizes low-value agricultural feedstock,Green Supply Chain,Frugal processes and operations,"By using agricultural by-products, the process reduces waste and reliance on virgin resources, leading to more efficient and cost-effective operations.",Adapt,"The design adapts by utilizing existing agricultural waste streams, turning a low-value input into a high-value product.",https://www.ellenmacarthurfoundation.org/circular-examples/packaging-from-mushroom-plastic-ecovative
Ecovative,Business and Industrial,Self-assembling material,Dematerialization,Generative design,"The material's ability to grow and form itself reduces the need for complex manufacturing processes and additional components, minimizing material input.",Combine,The material's inherent biological process is combined with design intent to create complex shapes without traditional assembly steps.,https://www.ellenmacarthurfoundation.org/circular-examples/packaging-from-mushroom-plastic-ecovative
Ecovative,Business and Industrial,Grows in 5-7 days,Green Supply Chain,Frugal processes and operations,The rapid growth cycle minimizes production time and energy consumption compared to traditional manufacturing methods.,Modify,"The growth speed is modified to be significantly faster than traditional material production, optimizing the manufacturing timeline.",https://www.ellenmacarthurfoundation.org/circular-examples/packaging-from-mushroom-plastic-ecovative
Ecovative,Business and Industrial,Requires no light or water for growth,Green Supply Chain,Frugal processes and operations,"This feature drastically reduces the resource requirements for production, making the process more efficient and less impactful.",Eliminate,"The need for light and water, common requirements for biological growth, is eliminated, simplifying the production process and reducing resource consumption.",https://www.ellenmacarthurfoundation.org/circular-examples/packaging-from-mushroom-plastic-ecovative
Ecovative,Business and Industrial,Digests agricultural by-products,Circularity,Design for reuse,"This feature actively upcycles waste materials, transforming them into a valuable product and closing the loop in agricultural processes.",Adapt,"The process adapts to consume agricultural by-products, repurposing them as a nutrient source for material growth.",https://www.ellenmacarthurfoundation.org/circular-examples/packaging-from-mushroom-plastic-ecovative
Ecovative,Business and Industrial,Can be grown into any shape,Dematerialization,Generative design,"The ability to grow into specific forms reduces the need for cutting, shaping, and waste generation during manufacturing.",Modify,"The material's form is modified to be adaptable and controllable during its growth phase, allowing for custom shapes without subtractive processes.",https://www.ellenmacarthurfoundation.org/circular-examples/packaging-from-mushroom-plastic-ecovative
Ecovative,Business and Industrial,Replaces petroleum-based expanded plastics,Next-Best Material Selection,Renewable and biodegradable material,"This directly substitutes a fossil fuel-dependent and non-biodegradable material with a sustainable, bio-based alternative.",Substitute,"Petroleum-based plastics are substituted with a bio-based mycelium material, offering a more environmentally friendly alternative.",https://www.ellenmacarthurfoundation.org/circular-examples/packaging-from-mushroom-plastic-ecovative
Ecovative,Business and Industrial,Replaces particle board made with carcinogenic formaldehyde,Green Supply Chain,Detoxified processes,"This feature eliminates the use of hazardous chemicals, creating a safer and healthier product and manufacturing environment.",Substitute,Particle board containing carcinogenic formaldehyde is substituted with a material free from such harmful chemicals.,https://www.ellenmacarthurfoundation.org/circular-examples/packaging-from-mushroom-plastic-ecovative
Ecovative,Business and Industrial,Dehydrated and heat-treated for spore and allergen absence,Green Supply Chain,Detoxified processes,"These post-growth treatments ensure product safety and stability without the use of harmful chemicals, contributing to a detoxified product lifecycle.",Modify,The material is modified through dehydration and heat treatment to ensure safety and remove potential allergens and spores.,https://www.ellenmacarthurfoundation.org/circular-examples/packaging-from-mushroom-plastic-ecovative
Bundles,Electronics,Pay-per-use technology,Longevity and Effective Usage,Design to last,Pay-per-use incentivizes the manufacturer to design products that are durable and reliable to minimize service costs over their extended lifespan.,Modify,"This feature modifies the traditional ownership model to a usage-based model, encouraging a focus on product longevity and performance.",https://www.ellenmacarthurfoundation.org/circular-examples/a-model-offering-multiple-benefits-for-multiple-electronic-products
Bundles,Electronics,Internet of Things (IoT) enabled product monitoring,Longevity and Effective Usage,Design for repairability and maintenance,"IoT monitoring allows for proactive identification of potential issues, enabling timely maintenance and repairs to extend the product's functional life.",Combine,"This feature combines the product with digital monitoring capabilities, allowing for data-driven insights into its operational status and maintenance needs.",https://www.ellenmacarthurfoundation.org/circular-examples/a-model-offering-multiple-benefits-for-multiple-electronic-products
Bundles,Electronics,Maintenance and refurbishment for multiple cycles,Longevity and Effective Usage,Design for multiple uses,"By designing for repeated maintenance and refurbishment, the product's usable life is extended, reducing the need for new production and resource consumption.",Adapt,"This feature adapts the concept of product lifecycle by incorporating planned maintenance and refurbishment cycles, extending its utility beyond a single use.",https://www.ellenmacarthurfoundation.org/circular-examples/a-model-offering-multiple-benefits-for-multiple-electronic-products
Bundles,Electronics,Expert management of product lifetime (refurbishment/remanufacturing),Circularity,Design for remanufacturing,"Expert management ensures that products are effectively refurbished or remanufactured, returning them to a high-quality state for continued use and minimizing waste.",Modify,"This feature modifies the end-of-life process by introducing expert intervention for refurbishment and remanufacturing, enhancing the product's circularity.",https://www.ellenmacarthurfoundation.org/circular-examples/a-model-offering-multiple-benefits-for-multiple-electronic-products
Bundles,Electronics,User data tracking based on power demand,Product efficiency,Change consumer behavior,"Tracking power demand provides users with insights into their energy consumption, encouraging more efficient usage patterns and potentially reducing overall energy waste.",Combine,"This feature combines product usage with data analytics to provide feedback, enabling users to understand and modify their behavior for better energy efficiency.",https://www.ellenmacarthurfoundation.org/circular-examples/a-model-offering-multiple-benefits-for-multiple-electronic-products
Bundles,Electronics,Subscription model for durable products,Longevity and Effective Usage,Design to last,"A subscription model aligns the manufacturer's incentives with product durability, as they benefit from the product remaining functional and in use for longer periods.",Substitute,"This feature substitutes the traditional ownership model with a subscription model, fundamentally changing the economic drivers to prioritize product longevity.",https://www.ellenmacarthurfoundation.org/circular-examples/a-model-offering-multiple-benefits-for-multiple-electronic-products
Niaga,Furniture,Circular design principles,Circularity,Enable material homogeneity,"Circular design principles inherently aim to keep materials in use, and homogeneity facilitates easier recycling and reprocessing.",Combine,This feature likely emerged from combining various sustainable material and end-of-life strategies into a cohesive product system.,https://www.ellenmacarthurfoundation.org/circular-examples/redesigning-medium-life-bulky-products-from-scratch
Niaga,Furniture,Recyclable back into the same product,Circularity,Design for reuse,"The ability to recycle back into the same product directly supports a closed-loop system, promoting reuse of materials.",Rearrange,"This feature suggests a rearrangement of the product's lifecycle, allowing its components to be reprocessed into identical new products.",https://www.ellenmacarthurfoundation.org/circular-examples/redesigning-medium-life-bulky-products-from-scratch
Niaga,Furniture,Decouples on demand adhesive,Longevity and Effective Usage,Design for repairability and maintenance,"An adhesive that decouples on demand allows for easy separation of components, facilitating repair and maintenance.",Substitute,"This feature involves substituting traditional permanent adhesives with a novel, easily releasable alternative.",https://www.ellenmacarthurfoundation.org/circular-examples/redesigning-medium-life-bulky-products-from-scratch
Niaga,Furniture,Non-toxic components,Green Supply Chain,Detoxified processes,Using non-toxic components ensures a safer manufacturing process and a healthier product for the end-user and the environment.,Substitute,"This feature is achieved by substituting potentially harmful materials with safer, non-toxic alternatives.",https://www.ellenmacarthurfoundation.org/circular-examples/redesigning-medium-life-bulky-products-from-scratch
Niaga,Furniture,Easy recyclable mono-material components,Circularity,Enable material homogeneity,Mono-material components simplify the recycling process and improve the quality of recycled materials due to homogeneity.,Eliminate,This feature involves eliminating the complexity of mixed materials by using a single type of material for components.,https://www.ellenmacarthurfoundation.org/circular-examples/redesigning-medium-life-bulky-products-from-scratch
Niaga,Furniture,Modular design,Longevity and Effective Usage,Design for upgradability and adaptability,"Modularity allows for easy replacement or upgrading of individual parts, extending the product's lifespan and adaptability.",Combine,This feature combines individual components into a system that can be easily reconfigured or updated.,https://www.ellenmacarthurfoundation.org/circular-examples/redesigning-medium-life-bulky-products-from-scratch
Niaga,Furniture,Supports easy maintenance,Longevity and Effective Usage,Design for repairability and maintenance,Designing for easy maintenance directly contributes to the longevity of the product by enabling timely and simple repairs.,Adapt,This feature adapts existing product assembly and component access principles to prioritize ease of maintenance.,https://www.ellenmacarthurfoundation.org/circular-examples/redesigning-medium-life-bulky-products-from-scratch
Ahrend,Furniture,Modularity,Longevity and Effective Usage,Design for upgradability and adaptability,"Modularity allows components to be easily swapped or upgraded, extending the product's useful life and adapting it to changing needs.",Combine,Modularity is achieved by combining different functional units or components that can be assembled and reconfigured.,https://www.ellenmacarthurfoundation.org/circular-examples/bringing-office-furniture-full-circle
Ahrend,Furniture,Disassembly,Circularity,Design for disassembly,"Designing for disassembly facilitates the separation of materials at the end of the product's life, enabling easier recycling and reuse.",Eliminate,"Disassembly is achieved by eliminating permanent connections and fasteners, allowing for easy separation of parts.",https://www.ellenmacarthurfoundation.org/circular-examples/bringing-office-furniture-full-circle
Ahrend,Furniture,Life extension,Longevity and Effective Usage,Design to last,Focusing on life extension directly contributes to reducing the need for new products by ensuring the existing ones remain functional and relevant for longer.,Modify,Life extension is achieved by modifying the product's design to enhance its durability and resistance to obsolescence.,https://www.ellenmacarthurfoundation.org/circular-examples/bringing-office-furniture-full-circle
Ahrend,Furniture,Easy repair,Longevity and Effective Usage,Design for repairability and maintenance,"Making repairs easy encourages users to fix rather than replace products, thereby extending their lifespan and reducing waste.",Substitute,"Easy repair is achieved by substituting complex or integrated components with simpler, more accessible, and replaceable parts.",https://www.ellenmacarthurfoundation.org/circular-examples/bringing-office-furniture-full-circle
Ahrend,Furniture,Easy upgrades,Longevity and Effective Usage,Design for upgradability and adaptability,"Easy upgrades allow users to improve product functionality or performance without replacing the entire item, promoting longevity and reducing consumption.",Modify,Easy upgrades are facilitated by modifying the product to include interfaces or slots that allow for the addition or replacement of components.,https://www.ellenmacarthurfoundation.org/circular-examples/bringing-office-furniture-full-circle
Ahrend,Furniture,Easy modifications,Longevity and Effective Usage,Design for upgradability and adaptability,"Enabling easy modifications allows users to customize or adapt the product to their evolving needs, increasing its utility and lifespan.",Adapt,"Easy modifications are achieved by adapting the product's design to be flexible and configurable, allowing for user-driven changes.",https://www.ellenmacarthurfoundation.org/circular-examples/bringing-office-furniture-full-circle
Ahrend,Furniture,Multiple lives for products,Circularity,Design for reuse,Designing products for multiple lives directly supports reuse and extends the period of value extraction from materials and manufacturing efforts.,Put to Another Use,Designing for multiple lives involves envisioning and enabling different uses or configurations of the product throughout its existence.,https://www.ellenmacarthurfoundation.org/circular-examples/bringing-office-furniture-full-circle
